"","uid","ext_int","spec_glob","valence","block"
"127","subCA1_16",80,88,"neg","block3"
"128","subCA1_16",83,75,"pos","block3"
"129","subCA1_17",5,27,"neg","block0"
"130","subCA1_17",100,74,"pos","block0"
"131","subCA1_17",55,51,"neg","block1"
"132","subCA1_17",59,46,"pos","block1"
"133","subCA1_17",40,52,"neg","block2"
"134","subCA1_17",59,54,"pos","block2"
"135","subCA1_17",37,40,"neg","block3"
"136","subCA1_17",82,62,"pos","block3"
"137","subCA1_18",75,62,"neg","block0"
"138","subCA1_18",100,31,"pos","block0"
"139","subCA1_18",39,72,"neg","block1"
"140","subCA1_18",71,56,"pos","block1"
"141","subCA1_18",43,29,"neg","block2"
"142","subCA1_18",68,60,"pos","block2"
"143","subCA1_18",33,35,"neg","block3"
"144","subCA1_18",69,58,"pos","block3"
"145","subCA1_19",27,26,"neg","block0"
"146","subCA1_19",22,20,"pos","block0"
"147","subCA1_19",66,38,"neg","block1"
"148","subCA1_19",57,55,"pos","block1"
"149","subCA1_19",74,24,"neg","block2"
"150","subCA1_19",75,23,"pos","block2"
"151","subCA1_19",17,27,"neg","block3"
"152","subCA1_19",60,66,"pos","block3"
"153","subCA1_20",27,29,"neg","block0"
"154","subCA1_20",25,24,"pos","block0"
"155","subCA1_20",72,74,"neg","block1"
"156","subCA1_20",35,65,"pos","block1"
"157","subCA1_20",35,31,"neg","block2"
"158","subCA1_20",43,43,"pos","block2"
"159","subCA1_20",37,69,"neg","block3"
"160","subCA1_20",28,77,"pos","block3"
"161","subCA1_21",100,0,"neg","block0"
"162","subCA1_21",100,14,"pos","block0"
"163","subCA1_21",100,0,"neg","block1"
"164","subCA1_21",87,100,"pos","block1"
"165","subCA1_21",87,12,"neg","block2"
"166","subCA1_21",100,85,"pos","block2"
"167","subCA1_21",27,93,"neg","block3"
"168","subCA1_21",94,95,"pos","block3"
"169","subCA1_22",29,40,"neg","block0"
"170","subCA1_22",97,0,"pos","block0"
"171","subCA1_22",18,32,"neg","block1"
"172","subCA1_22",97,5,"pos","block1"
"173","subCA1_22",10,21,"neg","block2"
"174","subCA1_22",96,15,"pos","block2"
"175","subCA1_22",21,27,"neg","block3"
"176","subCA1_22",78,13,"pos","block3"
"177","subCA1_23",21,21,"neg","block0"
"178","subCA1_23",36,83,"pos","block0"
"179","subCA1_23",24,2,"neg","block1"
"180","subCA1_23",86,87,"pos","block1"
"181","subCA1_23",91,84,"neg","block2"
"182","subCA1_23",99,94,"pos","block2"
"183","subCA1_23",49,48,"neg","block3"
"184","subCA1_23",100,96,"pos","block3"
"185","subCA1_24",79,23,"neg","block0"
"186","subCA1_24",100,0,"pos","block0"
"187","subCA1_24",75,100,"neg","block1"
"188","subCA1_24",50,0,"pos","block1"
"189","subCA1_24",100,51,"neg","block2"
"190","subCA1_24",100,50,"pos","block2"
"191","subCA1_24",0,0,"neg","block3"
"192","subCA1_24",100,0,"pos","block3"
"193","subCA1_25",68,69,"neg","block0"
"194","subCA1_25",27,40,"pos","block0"
"195","subCA1_25",41,34,"neg","block1"
